Draft Pick,Player,Team,Position,Manager,Unnamed: 5
15,Yordan Alvarez,HOU,OF,Ed,
16,Giancarlo Stanton,NYY,OF,Ed,
17,Hyun Jin Ryu,TOR,SP,Ed,
18,Zack Greinke,HOU,SP,Ed,
19,Will Smith,ATL,CL,Ed,
20,Josh Bell,WSN,1B,Ed,
21,Franmil Reyes,CLE,OF,Ed,
22,Joc Pederson,CHC,OF,Ed,
23,Shohei Ohtani,LAA,OF,Ed,
24,Dylan Bundy,LAA,SP,Ed,
25,Ke'Bryan Hayes,PIT,3B,Ed,
26,Gary Sanchez,NYY,C,Ed,
27,Charlie Morton,TBR,SP,Ed,
28,Jesse Winker,CIN,OF,Ed,
29,James McCann,NYM,C,Ed,
30,Corey Kluber,NYY,SP,Ed,
31,Domingo German,NYY,SP,Ed,
32,Dansby Swanson,ATL,SS,Ed,
33,Amir Garrett,CIN,CL,Ed,
34,Greg Holland,KCR,RP,Ed,
35,Bobby Dalbec,BOS,1B,Ed,
36,Adam Wainwright,STL,SP,Ed,
37,Jonathan India,CIN,2B,Ed,
38,Cesar Hernandez,CLE,2B,Ed,
39,Justin Upton,LAA,OF,Ed,
40,Tommy Edman,STL,2B,Ed,
1,Ronald Acuna Jr.,ATL,OF,Colin,
2,Shane Bieber,CLE,SP,Colin,
3,Cody Bellinger,LAD,1B,Colin,
4,Christian Yelich,MIL,OF,Colin,
5,Manny Machado,SDP,3B,Colin,
6,Xander Bogaerts,BOS,SS,Colin,
7,Lucas Giolito,CHW,SP,Colin,
8,Bo Bichette,TOR,SS,Colin,
9,Rafael Devers,BOS,3B,Colin,
10,Luis Castillo,CIN,SP,Colin,
11,Luis Robert,CHW,OF,Colin,
12,Ryan Pressly,HOU,RP,Colin,
13,Kenley Jansen,LAD,RP,Colin,
14,Cavan Biggio,TOR,2B,Colin,
15,Matt Olson,OAK,1B,Colin,
16,Randy Arozarena,TBR,OF,Colin,
17,Jeff McNeil,NYM,2B,Colin,
18,Corbin Burnes,MIL,SP,Colin,
19,Teoscar Hernandez,TOR,OF,Colin,
20,Jordan Romano,TOR,RP,Colin,
21,J.D. Martinez,BOS,DH,Colin,
22,Ian Anderson,ATL,SP,Colin,
23,Austin Meadows,TBR,OF,Colin,
24,Christian Vazquez,BOS,C,Colin,
25,C.J. Cron,COL,1B,Colin,
26,Jorge Soler,KCR,DH,Colin,
27,Jordan Hicks,STL,RP,Colin,
28,Sean Murphy,OAK,C,Colin,
29,Gavin Lux,LAD,2B,Colin,
30,Yoan Moncada,CHW,3B,Colin,
31,Trey Mancini,BAL,DH,Colin,
32,Jesus Luzardo,OAK,SP,Colin,
33,Diego Castillo,TBR,RP,Colin,
34,Marcus Semien,TOR,SS,Colin,
35,Peter Fairbanks,TBR,RP,Colin,
36,Ryan McMahon,COL,2B,Colin,
37,Ryan Mountcastle,BAL,OF,Colin,
38,Lance McCullers Jr.,HOU,SP,Colin,
39,Giovanny Gallegos,STL,RP,Colin,
40,Ryan Jeffers,MIN,C,Colin,
